"Date","Price","Open","High","Low","Vol.","Change %"
"04/14/2023","1.1000","1.1043","1.1077","1.0972","","-0.40%"
"04/13/2023","1.1044","1.0992","1.1069","1.0977","","0.50%"
"04/12/2023","1.0989","1.0913","1.1001","1.0911","","0.72%"
"04/11/2023","1.0910","1.0863","1.0928","1.0857","","0.47%"
"04/10/2023","1.0859","1.0901","1.0918","1.0831","","-0.35%"
"04/07/2023","1.0897","1.0923","1.0926","1.0876","","-0.21%"
"04/06/2023","1.0920","1.0903","1.0939","1.0884","","0.16%"
"04/05/2023","1.0903","1.0953","1.0970","1.0891","","-0.45%"
"04/04/2023","1.0952","1.0901","1.0974","1.0883","","0.52%"
"04/03/2023","1.0895","1.0847","1.0918","1.0788","","0.52%"
"03/31/2023","1.0839","1.0906","1.0927","1.0836","","-0.57%"
"03/30/2023","1.0901","1.0844","1.0927","1.0823","","0.53%"
"03/29/2023","1.0843","1.0844","1.0872","1.0817","","0.00%"
"03/28/2023","1.0843","1.0797","1.0849","1.0795","","0.44%"
"03/27/2023","1.0796","1.0767","1.0800","1.0745","","0.34%"
"03/24/2023","1.0759","1.0829","1.0840","1.0713","","-0.66%"
"03/23/2023","1.0830","1.0856","1.0931","1.0824","","-0.23%"
"03/22/2023","1.0855","1.0768","1.0913","1.0759","","0.82%"
"03/21/2023","1.0767","1.0721","1.0789","1.0704","","0.45%"
"03/20/2023","1.0719","1.0697","1.0732","1.0631","","0.50%"
"03/17/2023","1.0666","1.0609","1.0686","1.0605","","0.58%"
"03/16/2023","1.0605","1.0577","1.0637","1.0550","","0.28%"
"03/15/2023","1.0575","1.0733","1.0761","1.0516","","-1.46%"
"03/14/2023","1.0732","1.0731","1.0750","1.0678","","0.03%"
"03/13/2023","1.0729","1.0647","1.0749","1.0647","","0.81%"
"03/10/2023","1.0643","1.0580","1.0702","1.0573","","0.60%"
"03/09/2023","1.0580","1.0545","1.0591","1.0538","","0.34%"
"03/08/2023","1.0544","1.0549","1.0575","1.0524","","-0.03%"
"03/07/2023","1.0547","1.0681","1.0695","1.0546","","-1.23%"
"03/06/2023","1.0678","1.0619","1.0695","1.0615","","0.43%"
"03/03/2023","1.0632","1.0598","1.0639","1.0587","","0.34%"
"03/02/2023","1.0596","1.0668","1.0674","1.0575","","-0.65%"
"03/01/2023","1.0665","1.0576","1.0692","1.0565","","0.84%"
"02/28/2023","1.0576","1.0605","1.0646","1.0574","","-0.29%"
"02/27/2023","1.0607","1.0541","1.0620","1.0532","","0.58%"
"02/24/2023","1.0546","1.0597","1.0616","1.0536","","-0.46%"
"02/23/2023","1.0595","1.0603","1.0628","1.0576","","-0.06%"
"02/22/2023","1.0601","1.0648","1.0664","1.0598","","-0.42%"
"02/21/2023","1.0646","1.0686","1.0698","1.0637","","-0.34%"
"02/20/2023","1.0682","1.0688","1.0705","1.0670","","-0.11%"
"02/17/2023","1.0694","1.0674","1.0699","1.0612","","0.24%"
"02/16/2023","1.0668","1.0690","1.0723","1.0654","","-0.20%"
"02/15/2023","1.0689","1.0738","1.0746","1.0660","","-0.43%"
"02/14/2023","1.0735","1.0723","1.0805","1.0706","","0.14%"
"02/13/2023","1.0720","1.0679","1.0731","1.0655","","0.42%"
"02/10/2023","1.0675","1.0738","1.0754","1.0666","","-0.57%"
"02/09/2023","1.0736","1.0711","1.0793","1.0709","","0.25%"
"02/08/2023","1.0709","1.0726","1.0761","1.0709","","-0.13%"
"02/07/2023","1.0723","1.0727","1.0768","1.0667","","-0.07%"
"02/06/2023","1.0730","1.0790","1.0799","1.0709","","-0.58%"
"02/03/2023","1.0793","1.0909","1.0941","1.0791","","-1.07%"
"02/02/2023","1.0910","1.0990","1.1034","1.0885","","-0.72%"
"02/01/2023","1.0989","1.0864","1.1001","1.0852","","1.17%"
"01/31/2023","1.0862","1.0850","1.0876","1.0802","","0.17%"
"01/30/2023","1.0844","1.0875","1.0914","1.0839","","-0.21%"
"01/27/2023","1.0867","1.0892","1.0901","1.0836","","-0.20%"
"01/26/2023","1.0889","1.0917","1.0930","1.0849","","-0.24%"
"01/25/2023","1.0915","1.0881","1.0925","1.0856","","0.28%"
"01/24/2023","1.0885","1.0872","1.0898","1.0834","","0.16%"
"01/23/2023","1.0868","1.0860","1.0927","1.0846","","0.12%"
"01/20/2023","1.0855","1.0833","1.0860","1.0802","","0.26%"
